x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
1.4612,140.9105,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.4840,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.5068,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.5297,141.0185,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.5525,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.5753,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.5982,141.4815,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.6210,140.4938,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.6895,140.4630,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.7352,140.4630,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.7808,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.8037,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.8265,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.8493,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.8721,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.8950,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.9178,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.9406,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.9635,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
1.9863,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.0091,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.0320,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.0548,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
2.0776,141.4660,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki001,NaConc,digitize_app_figs.py,2026-06-25
